text,label,label_name,language,domain,source,original_split,has_emoji,emoji_count,char_count,word_count,split
从你说健身就觉得，嘿嘿！恭喜小家伙！幸福幸福！@大家闺秀_elsa [爱你],1,positive,zh,social_media,weibo_senti_100k,unsplit,True,1,38,2,test
车模系，纯洁版[哈哈]@江苏时尚购 #美图秀秀iPhone版#,1,positive,zh,social_media,weibo_senti_100k,unsplit,True,1,31,2,train
岩盐芝士绿茶每单必点,1,positive,zh,food_delivery,waimai_10k,unsplit,False,0,10,1,train
小宝贝病了[伤心],0,negative,zh,social_media,weibo_senti_100k,unsplit,True,1,9,1,validation
还想看你的「动词变位」！朋友看过都说好，我竟然还没看到：（ //@唐晓白导演:[鼓掌][鼓掌] //@周监制: 香港电影节今年的票房特火，《陌生》的票快要卖光了！！ //@唐晓白导演: 回复@权聆:我也要去去看权导的片子。[心] //@权聆:我买票了。要去看！@唐晓白导演 @周监制,1,positive,zh,social_media,weibo_senti_100k,unsplit,True,3,141,8,train
唉！[衰] //@刘栋哥哥:力挺智丽成功抗击狭隘的爱国主义 //@大四喜_王??:到底是谁无耻，有脑子的都知道。//@薛蛮子:无,0,negative,zh,social_media,weibo_senti_100k,unsplit,True,1,64,3,train
恭喜@俩宝贝3185668150@醉友樱得@苏莓小姐v@深海鱼howay@逛吃逛吃又逛吃@花宝妈咪@无敌宇宙大坨坨@了不起的spencer@斯基维奇科夫想骑行青藏线@诗雨甜Smile 获得豆果精选调味大礼包～请将寄送地址＋联系方式私信给果子！[亲亲],1,positive,zh,social_media,weibo_senti_100k,unsplit,True,1,125,2,train
"根本就没有送,订了两单,商家说根本就没有看到这单子,没看到单子是怎么完成状态的！！！",0,negative,zh,food_delivery,waimai_10k,unsplit,False,0,42,1,train
Friday Night Lights... Cheer on Bishop McNamara at home tonight as they take on St. Ignatius! Sophomore game...,1,positive,en,social_media,tweet_eval_sentiment,train,False,0,111,18,train
@user You find her and you may get a reason to stay longer here in Philly :-),1,positive,en,social_media,tweet_eval_sentiment,train,False,0,77,17,train
其实胖子也没有夏天[泪]想想自己去年夏天才买的裤子，今天拿出来穿，已经穿不上了[泪][泪]好歹我还在做正畸诶[泪],0,negative,zh,social_media,weibo_senti_100k,unsplit,True,4,57,1,train
北京也兴起这个风气吧。//@五角场张生://@煮手老毒P: 后来待用咖啡传到了中国，著名咖啡店隔壁纷纷开起了回购咖啡的咖啡店//@Bessie的微笑: 觉得温暖[爱你],1,positive,zh,social_media,weibo_senti_100k,unsplit,True,1,84,3,train
"I'm sorry for Jean, after having such a good original movie to be followed up by perhaps his worst movie in is career. This movie was shot down terribly by horrible acting jobs by Goldbeg(Romeo) and whatever that computers name was. Also, some scenes may have been just a little unnesicary. Truly, bad movie.",0,negative,en,movie_review,imdb,train,False,0,308,54,train
"""The 700 Club"" has to be the single most bigoted television program in the history of television itself. To make matters worse, it's been on the air since 1966, implying that thousands if not millions of people are buying into its hate and lies. Headed by Pat Robertson, the unscrupulous, megalomaniacal founder and leader of the Christian Coalition, ""The 700 Club"" takes us from misinformation to misunderstanding, broadcasting ""news"" as they like to think of it and trying to convince its audience that all of the world's problems are to blame on homosexuals, Wiccans, New Age spiritualists, Muslims, Jews, Hindus, non-Fundamentalist Christians, Democrats, single mothers, foreigners, feminists, evolutionists, environmentalists, NASA scientists, and anyone else who doesn't share their fanatical religious views. It's actually the best fake news since ""The Daily Show"" or the ""Weekend Update"" segment of ""Saturday Night Live,"" or since ""FOX News,"" for that matter. Of course, Pat's always the one who makes each of the decisions, saying whatever comes to mind and not giving a damn who it offends or hurts. In the meantime, he continues his part in the struggle to transform the United States into a militarized police state by having the Religious Wrong stick their noses in everything they can and asking for one donation after another - no less than a measly $100 to become a member, by the way - to fund Pat's African diamond mines and buy oil from companies reprimanded by the government in the past for their abuse of the environment. No, never mind that Pat was good friends with the genocidal dictators of Zaire and Zimbabwe in order to help him acquire such wealth; it's all for the greater glory of God, don't you know? And of course, the hosts of ""The 700 Club"" are always willing to read letters ""written by viewers"" as they like to put it, coincidentally each typed in the same format and all on the same color of paper by ""viewers"" supposedly healed of various afflictions by the said hosts (they claim to have ""words of knowledge"" come to them) but who NEVER APPEAR on the program to say what happened to them. Honestly, how can anyone take a show seriously when they're using a poor applause recording? It should make people wonder why there's no studio audience.<br /><br />The sad thing that Pat's cronies and viewers don't realize or just don't WANT to realize are the horrible things he's done and said. This is a guy who agreed with Jerry Falwell that the September 11, 2001 terrorist attacks on the United States were the result of God punishing us for our acceptance of homosexuality and feminism. Ironic, considering that Pat has twice publicly referred to the implementation of a nuclear weapon in the State Department; I have little doubt it was his wealth that kept him from getting arrested for such statements. His rants against homosexuals, single mothers, and any number of sexual practices he considers ""sinful"" are interesting, considering he was known to frequent a number of brothels during the Korean War. As the Bible says, be fruitful and multiply, so congratulations, Pat - thanks to you, there's probably a number of children born to single Korean mothers. Then, of course, there was the time he called for the assassination of Venezuelan President Hugo Chavez (not that he's a saint, but still). Oh, yes, and let's not soon forget the time this ""crusader for human life"" supported forced abortions in China. Very ""Christian"" of him, wouldn't you say?<br /><br />And just in case Pat has forgotten, I haven't forgotten his little speech that evangelical Christians today are ""being treated exactly as the Jews were in Nazi Germany."" Honestly, to compare his ""plight"" to the horrors of the Holocaust is almost unforgivable. Speaking of which, need I mention about how he blatantly lied that homosexuality ran rampant among the Nazi party in a pathetic attempt to discredit homosexuals? Of course, history shows us that the Nazis acted toward homosexuals the same way they acted toward Jews. Pat Robertson is one of the biggest liars in history. If he was Pinocchio, his nose would encircle the Earth.<br /><br />Unfortunately, more and more people continue to believe him every day. This is your wake-up call, people; ""The 700 Club"" is one of the most if not the single most vile program in television history. It's evil masquerading as good; it's a wolf-in-sheep's-clothing. It's bigoted filth that tries to look clean, pretty, and loving. It's living proof that hateful, dangerous religious views aren't confined to certain groups in the Middle East. Even those who are not of the Christian faith know that it goes against everything Jesus taught, and if Jesus was to appear to this ""club,"" He wouldn't be emulating them. Instead, He'd be chastising them as He did the Pharisees of His time and overturning the money bins of their telethons as He did in front of the synagogue in His time. All I can say is thank God that Pat had no chance of becoming President; if he did, he'd be the harbinger of Armageddon - and not on the side of the good guys.",0,negative,en,movie_review,imdb,train,False,0,5093,863,train
It's the first of August and started off good with Ant-Man.,1,positive,en,social_media,tweet_eval_sentiment,train,False,0,59,11,train
"""Bolton Wanderers, who are 18th in the Championship after winning only three of their 10 matches, have sacked their manager Owen Coyle.""",0,negative,en,social_media,tweet_eval_sentiment,train,False,0,136,22,train
